1,5,3
1,6,2
2,5,5
2,6,4
3,5,2
3,6,1
4,5,5
4,6,4
4,8,1
4,10,3
5,6,3
5,8,4
5,10,1
6,5,3
6,6,1
6,8,1
7,5,1
7,8,3
7,10,3
8,5,3
8,6,4
8,10,5
9,5,1
9,6,3
9,8,3
10,5,3
10,6,3
10,8,3
11,5,4
11,6,2
12,5,4
12,6,1
13,5,3
13,6,4
14,5,2
14,6,1
15,5,4
15,6,1
15,10,1
16,4,4
16,10,1
17,4,2
17,10,3
18,4,3
19,2,2
19,7,4
19,11,3
20,2,5
20,7,3
20,11,3
21,2,5
21,11,4
22,5,4
22,8,2
23,5,2
23,8,3
24,8,1
25,3,3
25,6,1
26,3,2
26,9,3
27,3,4
27,9,4
28,1,2
28,12,5
29,1,1
29,12,5
30,1,4
30,12,4
31,5,1
31,6,4
31,10,1
32,5,3
32,6,3
33,5,4
34,4,4
34,9,4
34,10,4
35,3,1
35,4,2
36,3,5
36,6,1
36,9,4
